I.,II.,II.,III.A,III.A,III.B,III.B,III.B,IV.A.1,IV.A.2,IV.A.3,IV.B.1,IV.B.2,IV.B.3,IV.B.4,IV.C.1,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.B.2,IV.B.2,IV.C.1,IV.C.2,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.C.5,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.B.3,IV.B.3,IV.C.1,IV.C.2,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.C.5,IV.C.6,IV.C.6,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.D.4,IV.B.4,IV.B.4,IV.C.1,IV.C.2,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.C.5,IV.C.6,IV.C.6,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.D.4,IV.D.5,IV.B.5.,IV.B.5.,,IV.C.1,IV.C.2,IV.C.5,IV.C.5,IV.C.6,IV.C.6,IV.D.3,IV.D.4,IV.D.5,IV.B.6.,IV.B.6.,IV.B.6.,IV.B.6.,IV.B.6.,IV.C.1,IV.C.5,IV.C.6,IV.D.3,IV.D.3,IV.D.4,IV.B.7.,IV.B.7.,IV.C.1,IV.C.2,IV.D.5,IV.,V.A
HI,Hawaii,Hawaii,A-400a,Agricultural District - minimum 400 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,400,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,No,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-40a,Agricultural District - minimum 40 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,40,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,No,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-500a,Agricultural District - minimum 500 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,500,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,No,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-5a,Agricultural District - minimum 5 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,No,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-600a,Agricultural District - minimum 600 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,600,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-6a,Agricultural District - minimum 6 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,6,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-7a,Agricultural District - minimum 7 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,7,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-8000a,Agricultural District - minimum 8000 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,8000,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-80a,Agricultural District - minimum 80 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,80,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-8a,Agricultural District - minimum 8 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,8,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,A-900a,Agricultural District - minimum 900 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,900,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Prohibited,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,,,,,,2,,NONE,,NONE,,No,,,,,
HI,Hawaii,Hawaii,APD,Agricultural Project Districts,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,,,NONE,2,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibited,,,,,,,,,,,,Allowed/Conditional,,,,,,,,,,,,No,,1,,"Setbacks, minimum individual lot sizes, etc are not specified in a project district. In the APD, there's a density guideline, but it's up to the interpretation of the project by the board",
HI,Hawaii,Hawaii,CDH,Downtown Hilo Commercial District,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,0,0,0,,NONE,1,NONE,120,NONE,NONE,No,No,0.17,,,,,,,2,2,,120,,,No,No,0.17,87,0,0,0,NONE,NONE,1.25,1.25,No,No,NONE,120,NONE,NONE,NONE,No,No,0.17,87,0,0,0,NONE,NONE,1.25,1.25,,,NONE,120,NONE,NONE,NONE,NONE,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,,,No,No,,,,,,,,No,,,,"Parking requirements: possibly 0 for SFH if dwelling density is lower than 1 unit per 1,000 square feet of land; 3/4+ Housing - permitted with a maximum density of five hundred square feet of land area per rentable unit or dwelling unit; Setbacks - 0 except as required by plan approval; Parking - The number of parking spaces required for double-family, duplex and multiple-family residential dwellings having a density greater than one thousand square feet of land area per rentable unit or dwelling unit within the CDH zoning district shall be one off-street parking space per unit; 3/4+ parking - one for each unit on a property maintaining a unit density higher than one thousand square feet of land area per rentable unit or dwelling unit.",
HI,Hawaii,Hawaii,CG-10,"General Commercial - 10,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,15,0,15,,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.23,8,15,0,15,,,4,4,,,,,No,No,0.23,35,15,0,15,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.23,35,15,0,15,NONE,NONE,1.25,1.25,,,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,,,No,No,,,,,,,,No,,,,"3/4+-Housing - permitted provided that the maximum density shall be one thousand two hundred fifty square feet of land area per rentable unit or dwelling unit; The height limit in the City of Hilo shall be one hundred twenty feet; Side yards, none, except where the adjoining building site is in an RS, RD, RM or RCX district. Where the side yard adjoins the side yard of a building site in an RS, RD, RM or RCX district, there shall be a side yard which conforms to the side yard requirements for dwelling use of the adjoining district.",
HI,Hawaii,Hawaii,CG-20,"General Commercial - 20,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,15,0,15,,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.46,4,15,0,15,,,4,4,,,,,No,No,0.46,35,15,0,15,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.46,35,15,0,15,NONE,NONE,1.25,1.25,,,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,,,No,No,,,,,,,,No,,,,"3/4+-Housing - permitted provided that the maximum density shall be one thousand two hundred fifty square feet of land area per rentable unit or dwelling unit; The height limit in the City of Hilo shall be one hundred twenty feet; Side yards, none, except where the adjoining building site is in an RS, RD, RM or RCX district. Where the side yard adjoins the side yard of a building site in an RS, RD, RM or RCX district, there shall be a side yard which conforms to the side yard requirements for dwelling use of the adjoining district.",
HI,Hawaii,Hawaii,CG-7.5,"General Commercial - 7,500 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,15,0,15,,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.17,12,15,0,15,,,4,4,,,,,No,No,0.17,35,15,0,15,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.17,35,15,0,15,NONE,NONE,1.25,1.25,,,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,,,No,No,,,,,,,,No,,,,"3/4+-Housing - permitted provided that the maximum density shall be one thousand two hundred fifty square feet of land area per rentable unit or dwelling unit; The height limit in the City of Hilo shall be one hundred twenty feet; Side yards, none, except where the adjoining building site is in an RS, RD, RM or RCX district. Where the side yard adjoins the side yard of a building site in an RS, RD, RM or RCX district, there shall be a side yard which conforms to the side yard requirements for dwelling use of the adjoining district.",
HI,Hawaii,Hawaii,CN-10,"Neighborhood Commercial - 10,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,15,0,15,,NONE,2,NONE,40,NONE,NONE,No,No,0.23,8,15,0,15,,,4,4,,,,,No,No,0.23,35,15,0,15,NONE,NONE,1.25,1.25,No,No,NONE,40,NONE,NONE,NONE,No,No,0.23,35,15,0,15,NONE,NONE,1.25,1.25,,,NONE,40,NONE,NONE,NONE,NONE,Not Mentioned,,,,,,,,,,,,Allowed/Conditional,,,,No,,,,,,,,No,,,,"3/4+-Housing - permitted provided that the maximum density shall be one thousand two hundred fifty square feet of land area per rentable unit or dwelling unit; Side yards, none, except where the adjoining building site is in an RS, RD, RM, RCX or V district. Where the side yard adjoins the side yard of a building site in an RS, RD, RM, RCX or V district, there shall be a side yard which conforms to the side yard requirements for dwelling use of the adjoining district.",
